csv_name,rep,BF10,BF10_kde,prior_d0,post_d0_norm,post_d0_kde,post_d0_used,seed,mean_beta1,sd_beta1,rhat_beta1,ess_beta1,n_divergences,acceptance_rate,n_posterior_samples,draws,tune,chains,N,beta0,beta1,sigma,off_r_dist,off_r_scale
h2_job5886718_task1.csv,0,1.804619433711791e+61,0.0,0.3989422804014327,2.2106726379471e-62,0.0,2.2106726379471e-62,21839875,0.2081856032418612,0.012205991323111,1.0000949704339253,7150.896214852223,0,0.944987915838054,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,1,4.445240563466831e+51,0.0,0.3989422804014327,8.97459371895719e-53,0.0,8.97459371895719e-53,454911987,0.1886124966433884,0.0120086248071195,1.0004023182020263,6941.748290353236,0,0.9529260952024932,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,2,2.3678193205394143e+43,0.0,0.3989422804014327,1.684851022799112e-44,0.0,1.684851022799112e-44,239001070,0.1781169933544059,0.0123342796848612,1.0012017950328496,7879.370075162507,0,0.9533705673779552,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,3,1.5117929883581766e+48,0.0,0.3989422804014327,2.638868439485828e-49,0.0,2.638868439485828e-49,218747532,0.188083549469274,0.0123841751211474,1.0001882359400396,7436.766753519149,0,0.9483097761972736,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,4,1.302278975365789e+49,0.0,0.3989422804014327,3.063416425726873e-50,0.0,3.063416425726873e-50,515447476,0.1919002151922223,0.0125197222972037,1.0002994823493765,7510.555035147143,0,0.9456264739581884,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,5,4.0832062648312423e+58,0.0,0.3989422804014327,9.770319071008605e-60,0.0,9.770319071008605e-60,510135015,0.1973958732895924,0.0118222492681868,1.0011582467958968,7903.915219035429,0,0.9499973206099928,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,6,2.182070207560451e+65,0.0,0.3989422804014327,1.828274264591325e-66,0.0,1.828274264591325e-66,23906406,0.2165300667579284,0.0123041905271867,0.9998426168594076,7426.366371332233,0,0.9522228398774664,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,7,9.85292915070904e+56,0.0,0.3989422804014327,4.048971369825771e-58,0.0,4.048971369825771e-58,1033099032,0.1999886420107199,0.0121420118211638,1.000955079264645,7834.057345041118,0,0.9544120217715162,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,8,4.542953087473903e+50,0.0,0.3989422804014327,8.781562845133036e-52,0.0,8.781562845133036e-52,352175137,0.1915790110855563,0.0123131342360106,1.0005385857826232,7533.129724918166,0,0.9508948420290588,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task1.csv,9,3.56886547320301e+65,0.0,0.3989422804014327,1.1178406230128381e-66,0.0,1.1178406230128381e-66,463833855,0.2135753556459503,0.0121164574666686,1.0003955281544048,7669.573326035564,0,0.9481723543008111,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task10.csv,0,1.0751269551518117e+66,0.0,0.3989422804014327,3.710652760492828e-67,0.0,3.710652760492828e-67,825041223,0.2139376936451373,0.0120940927650541,1.0007705636736994,7556.890308444642,0,0.945367932363452,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task10.csv,1,7.538443868813973e+59,0.0,0.3989422804014327,5.292103879048853e-61,0.0,5.292103879048853e-61,261446734,0.2063497231900387,0.0122327133247351,1.00128438752618,7557.004568860553,0,0.9524339516514768,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task10.csv,2,2.1426783379154998e+52,0.0,0.3989422804014327,1.8618860019350403e-53,0.0,1.8618860019350403e-53,813153484,0.1882325545586648,0.0119083499380689,1.0017120442815954,7749.458711531336,0,0.9479887270745192,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task10.csv,3,1.2021078296584099e+53,0.0,0.3989422804014327,3.318689642964851e-54,0.0,3.318689642964851e-54,627408166,0.1960698331878277,0.0123210824279443,1.000476333292782,6912.68305267162,0,0.949564897323881,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task10.csv,4,2.795449779579425e+43,0.0,0.3989422804014327,1.427113029594308e-44,0.0,1.427113029594308e-44,917167242,0.1749085574662253,0.0121013654596074,1.0007556007879264,7311.810347871064,0,0.951446802510402,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task10.csv,5,4.494697816641298e+47,0.0,0.3989422804014327,8.875842084964584e-49,0.0,8.875842084964584e-49,344796011,0.181406800399287,0.0120062348443337,1.0012344622043163,7635.926400209888,0,0.9512939264550764,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
h2_job5886718_task10.csv,6,2.2638138256215665e+62,0.0,0.3989422804014327,1.76225746077811e-63,0.0,1.76225746077811e-63,989255874,0.207887207661628,0.012083474340515,1.0004984064870774,7386.115920094149,0,0.94934087520448,8000,2000,2000,4,6800,0.0,0.2,1.0,normal,1.0
