csv_name,rep,BF10,BF10_kde,prior_d0,post_d0_norm,post_d0_kde,post_d0_used,seed,mean_beta1,sd_beta1,rhat_beta1,ess_beta1,n_divergences,acceptance_rate,n_posterior_samples,draws,tune,chains,N,beta0,beta1,sigma,off_r_dist,off_r_scale
h3_job5748620_task1.csv,0,19845063341.71716,6.716055429481341e-87,0.3989422804014327,2.010284742013385e-11,6.716055429481341e-87,2.010284742013385e-11,21839875,0.2091347521764087,0.0283155052709578,1.0005255881872412,3594.516467174513,0,0.9508559003734778,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,1,602.8550132791261,5.369055643413786e-15,0.3989422804014327,0.0006617549354553,5.369055643413786e-15,0.0006617549354553,454911987,0.1280334176454295,0.028697188397664,1.0013120286549964,3256.2223258623326,0,0.950088829159055,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,2,71907124.5255439,4.114449696610673e-69,0.3989422804014327,5.548021604725888e-09,4.114449696610673e-69,5.548021604725888e-09,239001070,0.1881749190615985,0.0285999703153583,1.0039996291482387,3845.928036660216,0,0.9454112045138524,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,3,370602679508073.5,9.875421084317102e-157,0.3989422804014327,1.0764689584300269e-15,9.875421084317102e-157,1.0764689584300269e-15,218747532,0.2168016385772266,0.0251246903679464,1.0026685114822995,3592.045192699946,0,0.9506181082945476,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,4,99977899.6036375,1.843949912676949e-68,0.3989422804014327,3.990304677164049e-09,1.843949912676949e-68,3.990304677164049e-09,515447476,0.1929827434248728,0.0291218996810032,1.0010587654868308,3500.4581778041347,0,0.954941141838758,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,5,15080103193.43585,3.826689453372328e-69,0.3989422804014327,2.6454877349585117e-11,3.826689453372328e-69,2.6454877349585117e-11,510135015,0.1998882960554803,0.0271802669545396,1.0018176147611668,4483.771602170345,0,0.9596403607965938,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,6,404747387.6580474,5.5899805491961804e-61,0.3989422804014327,9.85657455900566e-10,5.5899805491961804e-61,9.85657455900566e-10,23906406,0.1862974061995426,0.0272191259570621,1.0010657900512958,3753.76392920922,0,0.9456588792184002,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,7,77788576.84761395,1.4840878641608166e-31,0.3989422804014327,5.128545816989959e-09,1.4840878641608166e-31,5.128545816989959e-09,1033099032,0.1881163354762334,0.0285378555382098,1.000938339936709,3672.8382505133104,0,0.9514387774845476,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,8,205278113.51353025,6.466258163071445e-66,0.3989422804014327,1.9434233566021976e-09,6.466258163071445e-66,1.9434233566021976e-09,352175137,0.1870343552896846,0.027743286415803,0.9999039951142404,3913.761404092477,0,0.9539391351786546,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task1.csv,9,4634919.58478468,5.2530316770122985e-55,0.3989422804014327,8.607318273893344e-08,5.2530316770122985e-55,8.607318273893344e-08,463833855,0.1731933346460133,0.0281556474364047,1.0000300640652378,3534.265972123536,0,0.9496524137271942,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task10.csv,0,480140940804.0371,9.389944343354609e-72,0.3989422804014327,8.30885780607187e-13,9.389944343354609e-72,8.30885780607187e-13,825041223,0.2179618278568215,0.0279182206003406,1.0009945267971398,4052.300089825635,0,0.9543678404169011,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task10.csv,1,12079.078110331257,4.1325410628903857e-11,0.3989422804014327,3.3027543721256096e-05,4.1325410628903857e-11,3.3027543721256096e-05,261446734,0.1411371787170376,0.0276944575355228,1.00122151160532,3486.389415859924,0,0.9536946099599476,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task10.csv,2,15902990961.21116,6.134664338479018e-84,0.3989422804014327,2.5085990514267915e-11,6.134664338479018e-84,2.5085990514267915e-11,813153484,0.2168478731647883,0.0295021201775825,1.0017215693787396,3690.2214891825206,0,0.9516760427909924,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task10.csv,3,5532025764084.821,1.210283146396876e-118,0.3989422804014327,7.211504382200397e-14,1.210283146396876e-118,7.211504382200397e-14,627408166,0.2284986994896111,0.0281641299566157,1.0002495523581558,4104.703379034504,0,0.9497891297104492,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task10.csv,4,1988919.1305294223,4.710080262694027e-50,0.3989422804014327,2.0058245419724025e-07,4.710080262694027e-50,2.0058245419724025e-07,917167242,0.1669623673478957,0.0277598508467357,0.9998251879082176,4209.284852271802,0,0.9511659309072176,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
h3_job5748620_task10.csv,5,67053291.613348775,2.1302065034500537e-30,0.3989422804014327,5.9496300748643915e-09,2.1302065034500537e-30,5.9496300748643915e-09,344796011,0.1810032904658785,0.0275301907454954,1.001574048813399,3555.773165576187,0,0.9479795485200134,4000,1000,1000,4,1298,0.0,0.2,1.0,normal,1.0
