csv_name,rep,BF10,BF10_kde,prior_d0,post_d0_norm,post_d0_kde,post_d0_used,seed,mean_alpha1,sd_alpha1,rhat_alpha1,ess_alpha1,n_divergences,acceptance_rate,n_posterior_samples,draws,tune,chains
h1a_job5875001_task1.csv,0,8.444348838145768e+151,0.0,0.3989422804014327,4.724369966802945e-153,0.0,4.724369966802945e-153,970013326,0.2051473363201646,0.0077024053468382,1.000996768279269,2880.1815769649256,0,0.9855124851097652,8000,2000,2000,4
h1a_job5875001_task1.csv,1,3.775090824566922e+135,0.0,0.3989422804014327,1.0567753173122804e-136,0.0,1.0567753173122804e-136,657768796,0.1980986232031587,0.0078672226633222,1.0007491473710246,2773.475181700753,0,0.9888224431151924,8000,2000,2000,4
h1a_job5875001_task1.csv,2,3.767348333303477e+142,0.0,0.3989422804014327,1.0589471562126982e-143,0.0,1.0589471562126982e-143,880709327,0.2009296368953078,0.0077841225362595,1.0018543522276129,3113.7277324315364,0,0.9864010443720242,8000,2000,2000,4
h1a_job5875001_task1.csv,3,1.687180744095806e+156,0.0,0.3989422804014327,2.3645497484339924e-157,0.0,2.3645497484339924e-157,16858249,0.2066865582034524,0.007654019840406,1.001616382224798,2503.179644697055,0,0.9831175630173354,8000,2000,2000,4
h1a_job5875001_task1.csv,4,3.032505978289797e+153,0.0,0.3989422804014327,1.3155531539179744e-154,0.0,1.3155531539179744e-154,545423988,0.2026654872116627,0.007570916492625,1.0012042303848523,3001.8502777169565,0,0.986023376015626,8000,2000,2000,4
h1a_job5875001_task10.csv,0,8.900826732731609e+145,0.0,0.3989422804014327,4.4820811861708585e-147,0.0,4.4820811861708585e-147,743384693,0.2093170925003132,0.0080164912898393,1.0019488313718012,2705.845881869134,0,0.9849794741896446,8000,2000,2000,4
h1a_job5875001_task10.csv,1,5.1940050967821856e+147,0.0,0.3989422804014327,7.680821889231399e-149,0.0,7.680821889231399e-149,101997187,0.207166978428528,0.0078870544756588,1.0012747995406566,2915.83007456348,0,0.9836350385339756,8000,2000,2000,4
h1a_job5875001_task10.csv,2,1.734649465386751e+147,0.0,0.3989422804014327,2.299843791854985e-148,0.0,2.299843791854985e-148,721134892,0.1963587100476108,0.0074869173585235,1.0004468847471049,2774.275718893829,0,0.9883151907037157,8000,2000,2000,4
h1a_job5875001_task10.csv,3,1.8070325394553965e+125,0.0,0.3989422804014327,2.207720512446676e-126,0.0,2.207720512446676e-126,575317023,0.1887577436203104,0.0077939304855253,1.001625466990372,2841.909064971149,0,0.9814097524400732,8000,2000,2000,4
h1a_job5875001_task10.csv,4,1.3482189892811144e+164,0.0,0.3989422804014327,2.959031756511301e-165,0.0,2.959031756511301e-165,24088773,0.2135065541230141,0.0077164499513265,1.0004592913431822,2635.131896539708,0,0.9848392123540634,8000,2000,2000,4
h1a_job5875001_task100.csv,0,2.3189883050068952e+144,0.0,0.3989422804014327,1.7203289880336225e-145,0.0,1.7203289880336225e-145,500887627,0.1985958397992385,0.0076463717113173,1.0019845494024004,3091.520356170673,0,0.9841926222675524,8000,2000,2000,4
h1a_job5875001_task100.csv,1,3.578622717302584e+163,0.0,0.3989422804014327,1.1147927901775372e-164,0.0,1.1147927901775372e-164,207826259,0.2107646765611982,0.0076304740877993,1.001458337783087,2821.269144444764,0,0.984249022319346,8000,2000,2000,4
h1a_job5875001_task100.csv,2,1.3761840087709628e+139,0.0,0.3989422804014327,2.8989021661262392e-140,0.0,2.8989021661262392e-140,1007696273,0.2009899459533707,0.0078807835087656,1.0010050496245144,2431.7903948284466,0,0.9904329865096972,8000,2000,2000,4
h1a_job5875001_task100.csv,3,2.7108636976133355e+149,0.0,0.3989422804014327,1.4716427120724117e-150,0.0,1.4716427120724117e-150,239604993,0.199211102905426,0.0075405765965308,1.0014974186100674,3002.6757664349057,0,0.9858411843603148,8000,2000,2000,4
h1a_job5875001_task100.csv,4,3.318955424332757e+154,0.0,0.3989422804014327,1.2020115650743837e-155,0.0,1.2020115650743837e-155,373500823,0.2058065035107961,0.0076628374317675,1.0009785531086777,3731.621693120643,0,0.9846294974967436,8000,2000,2000,4
h1a_job5875001_task101.csv,0,3.1293019125072555e+148,0.0,0.3989422804014327,1.274860309281582e-149,0.0,1.274860309281582e-149,232290479,0.2032569334529323,0.0077178899193158,1.0027008896600844,2651.136469515922,0,0.9861737974496068,8000,2000,2000,4
h1a_job5875001_task101.csv,1,5.663524546713855e+155,0.0,0.3989422804014327,7.044063764725942e-157,0.0,7.044063764725942e-157,953653498,0.2042461386898569,0.0075748860536781,1.001893234099543,2910.6686798998894,0,0.98692842508714,8000,2000,2000,4
h1a_job5875001_task101.csv,2,1.6374623313681048e+132,0.0,0.3989422804014327,2.4363447803291543e-133,0.0,2.4363447803291543e-133,617484530,0.188360046592818,0.0075730621183743,1.0014123715214445,3017.3183445741424,0,0.9873865872099796,8000,2000,2000,4
h1a_job5875001_task101.csv,3,2.373377871236189e+121,0.0,0.3989422804014327,1.680905030911276e-122,0.0,1.680905030911276e-122,76197843,0.1873724622328128,0.007857501385943,1.002959483107675,2674.587348971452,0,0.9857453185118312,8000,2000,2000,4
h1a_job5875001_task101.csv,4,2.7094480156065216e+139,0.0,0.3989422804014327,1.4724116429010988e-140,0.0,1.4724116429010988e-140,498504686,0.1987907644228375,0.0077863045915284,1.0010633982941073,2721.2554360799136,0,0.983854039690606,8000,2000,2000,4
