,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
condition[denoised],-0.053,0.029,-0.111,0.003,0.0,0.0,6304.0,4539.0,1.0
1|scan_id_sigma,0.059,0.04,0.0,0.131,0.001,0.001,1649.0,2285.0,1.0
