,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
condition[denoised],0.005,0.005,-0.005,0.015,0.0,0.0,1501.0,1313.0,1.01
1|scan_id_sigma,1.45,0.619,0.599,2.583,0.019,0.022,1037.0,1790.0,1.01
