,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
condition[denoised],0.0,0.007,-0.013,0.014,0.0,0.0,2151.0,2066.0,1.0
1|scan_id_sigma,0.396,0.166,0.169,0.719,0.005,0.007,1059.0,1408.0,1.0
