,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
condition[denoised],0.0,0.004,-0.007,0.008,0.0,0.0,6147.0,5624.0,1.0
1|scan_id_sigma,0.005,0.004,0.0,0.014,0.0,0.0,1874.0,2751.0,1.01
