,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
condition[denoised],-0.001,0.003,-0.006,0.005,0.0,0.0,6784.0,5467.0,1.0
1|scan_id_sigma,0.004,0.004,0.0,0.01,0.0,0.0,1336.0,1698.0,1.0
