,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
condition[denoised],0.0,0.003,-0.005,0.006,0.0,0.0,8047.0,6259.0,1.0
1|scan_id_sigma,0.003,0.003,0.0,0.008,0.0,0.0,2345.0,3380.0,1.0
